Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
61,4.262504582108974e-05,0.6902874708175659,0.0,0.6902874708175659,0.0
62,4.3323817064058425e-05,0.6325555592775345,0.0,0.6325555464317059,0.0
63,4.402258830702711e-05,0.57168348133564,0.0,0.5716834684898113,0.0
64,4.4721359549995795e-05,0.5174590349197388,0.0,0.5174590349197388,0.0
65,4.542013079296448e-05,0.47457096725702286,0.0,0.47457096083410855,0.0
66,4.6118902035933166e-05,0.409567154943943,0.0,0.4095671485210287,0.0
67,4.681767327890185e-05,0.3686775416135788,0.0,0.3686775544594074,0.0
68,4.7516444521870536e-05,0.3255917653441429,0.0,0.3255917717670572,0.0
69,4.8215215764839214e-05,0.2857068404555321,0.0,0.2857068468784464,0.0
70,4.89139870078079e-05,0.24341416731476784,0.0,0.24341416410331068,0.0
71,4.9612758250776585e-05,0.21142838522791862,0.0,0.21142838843937578,0.0
72,5.031152949374527e-05,0.17992056533694267,0.0,0.17992056854839983,0.0
73,5.1010300736713955e-05,0.1465207189321518,0.0,0.1465207189321518,0.0
74,5.170907197968264e-05,0.12169858999550343,0.0,0.12169858838977485,0.0
75,5.2407843222651325e-05,0.09703174978494644,0.0,0.09703174978494644,0.0
76,5.3106614465620004e-05,0.07704614661633968,0.0,0.07704614822206826,0.0
77,5.380538570858869e-05,0.0603171493858099,0.0,0.060317150991538476,0.0
78,5.4504156951557374e-05,0.04665746819227934,0.0,0.04665746899514363,0.0
79,5.520292819452606e-05,0.03835764713585377,0.0,0.03835764553012519,0.0
